1,New Delhi (L),Ind,782895.90(12),5%,369931*,8418,5219,74726*,133249*,0,583*
2,Mayapur (L)    Web,Ind,559223.00(12),23%,216794*,18983*,69838*,84532*,506000,0,4207*
3,Mumbai-Juhu (L)Web,Ind,469177.60(11),2%,216447*,7345,26469*,59244,8931,0,621
4,New Delhi(Punj.,Ind,419425.25(12),42%,196406*,7368*,5653*,37575*,46120,1270*,0
5,Mumbai-ChowpattWeb,Ind,237669.35(10),-31%,96159,10727,8542,88265*,68697,746*,208
6,Tirupati (L)   Web,Ind,222428.35(12),-8%,89082,8176*,2382,92633*,104889*,658*,0
7,Vrindavan (L)  Web,Ind,191742.00(10),-4%,61897,35870*,0 1,28142,84,14*,372
8,Moscow (L)     Web,Rus,179092.50(10),-4%,50601*,35385,45335,43920,88580*,0,0
9,Ahmedabad (M)  Web,Ind,137370.00( 9),31%,66815*,1101,2512,5034,1245*,0,35
10,Los Angeles (L)Web,USA,121511.05(12),10%,31813*,23926*,18823,84161*,17473*,400,6
11,Pune (L),Ind,111805.30(11),98%,47804*,1440*,1928*,40624*,36373*,0,111
12,Surat (S),Ind,110240.00(11),61%,41153*,3559*,2938*,11804*,48500*,7950*,85*
13,RupanugaVedicCoWeb,USA,100928.40(12),53%,39171*,14366*,5072*,22590*,369,0,5*
14,Catania TSKP (S,Ita,98147.70(10),8%,44719*,0,17419,0,2,0,0
15,Mumbai-Mira Roa,Ind,88492.00( 1),na,44246,0,0,0,0,0,0
16,VV Nagar (M)   Web,Ind,79031.25(12),67%,14410*,1044*,870,26389*,106444*,16574*,18*
17,San Jose(ISV) (Web,USA,66167.50(12),55%,27087*,4292*,405,29996*,0,0,15
18,Chandigarh (S),Ind,64157.25(12),21%,29159*,2847*,2375*,3553*,2093*,313*,0
19,Salem (M)      Web,Ind,59514.40(10),-8%,27301,1389*,156,4544,9528*,714*,118*
20,London-Soho (M)Web,Eng,54577.70(12),54%,20048*,3522,13229,17378,7,0,43*
21,Calcutta (L)   Web,Ind,49941.40(12),na,23439*,1013*,1452*,4198*,2749*,0,45*
22,Bhaktivedanta MWeb,Eng,49098.25(10),-5%,19398*,2054,7657*,17679,0,0,52*
23,Dhaka-Swamibag,Ban,43778.35(11),43%,19584*,1150*,632,2115,26156*,0,0
24,Mexico City (M)Web,Mex,42811.50(11),33%,1677*,646,20952 1,13342*,0,0,0
25,Chennai (M)    Web,Ind,41169.20(11),35%,16594*,1926*,536*,20616*,5990,18,0
26,Nizhny Novgorod,Rus,39478.90(11),27%,11580*,13636*,3322*,2620*,3669*,0,0
27,Baroda (M)     Web,Ind,39192.30( 9),28%,17600*,0,1970*,4650*,7228*,580*,19*
28,Ujjain (L),Ind,37061.80( 7),70%,13795*,3631,5396,12552,48,0,56*
29,Hyderabad (M),Ind,36432.00(12),88%,10780*,1689*,2313*,8236*,18996,3166*,9
30,Kathmandu (S),Nep,34869.25( 9),39%,15202*,903,2791*,8667,0,0,0
31,St. Petersburg Web,Rus,33858.00( 5),34%,11537*,5038,8668*,5648*,0,0,0
32,Kiev (L),Ukr,33182.30(12),-15%,10112,444,14722,20510,258,0,0
33,Coimbatore (S) Web,Ind,32876.50(12),58%,12365*,1056*,285,12632*,28600*,200*,0
34,Kazan (S),Rus,30959.00( 9),na,7029*,8753*,10448*,11696*,0,0,0
35,Auckland Loft (,NZ,30865.25(12),-39%,12219,2860,1135,11999*,0,0,15*
36,Budapest (L)   Web,Hun,30860.20(12),8%,5714*,4578*,24737*,2560,18457*,0,5*
37,Karuna Bhavan (Web,Sco,29386.25(12),-43%,4835,13678,1692,20349,126,21*,0
38,Almaty (L),Kaz,29072.50( 5),284%,7400*,4088*,7759*,25122*,245,0,0
39,Prague (M)     Web,Cze,26443.10(10),-48%,2297,18008,1247,12646,561*,0,0
40,New Ekacakra(Pr,SVK,26333.50(11),17%,1663*,22347*,0,2642,0,0,0
41,Rome (S)       Web,Ita,26011.90( 8),2%,12643*,0,1451,0,4*,0,0
42,Dnepropetrovsk,Ukr,24964.60(12),180%,10084*,68*,5675*,7440*,311,0,0
43,Vellore (S),Ind,24949.50(12),117%,9266*,1021,132,920,22657*,1492*,58*
44,Madurai (S),Ind,23419.25(12),39%,11388*,59,99*,2139,0,0,0
45,New Vrajadham-H,Hun,23403.35(12),-14%,6870,1734,11406*,2733,15431,0,2*
46,Minsk (M),Bel,22142.35( 4),23%,4210,6694*,6031*,15617*,1086,0,0
47,Leipzig (S),Ger,21581.70(11),64%,6012*,4390,10328*,0,37*,0,0
48,Bali (S),Ind,20337.60(10),na,6998*,1412*,2962*,10058*,9341*,0,0
49,Nairobi (S),Ken,16538.80( 8),na,3249,6563,1114,11594,223,0,119*
50,Perm (M),Rus,16406.60(10),-3%,7171,225,2812*,1076,1646,0,0
51,Milan (M),Ita,16398.20(10),-59%,3567,0,17696,0,1122*,160*,0
52,Shylet (L),Ban,16172.25( 9),27%,7062*,963,1016,2243,165,0,0
53,New York 26 2nd,USA,16001.00(12),60%,3622,4346*,3135*,11374*,0,0,0
54,Toronto (S)    Web,Can,15856.15(12),54%,4337*,2095*,3228*,12783*,618*,49*,60*
55,Bhimavaram (S),Ind,15547.50(10),na,7420,151,0,2226,0,0,23*
56,Kanyakumari (MS,Ind,15395.95(12),86%,5419*,761,159,997,9279*,1337*,17*
57,New Talavan (S)Web,USA,15108.75(11),-27%,5606,0,6762,2063,0,0,0
58,Berlin (S),Ger,15059.90(11),-33%,3601,2232,10666*,0,2929,0,0
59,Habarovsk (S),Rus,14050.00( 4),3%,2830*,3730,6440*,5760*,0,0,0
60,Chattagram-Prab,Ban,13934.35( 9),87%,5730*,1057,991,2047*,4101,0,0
61,St. Louis (S)  Web,USA,13592.05(12),-11%,5232,996,1037*,5769*,1713*,0,0
62,San Diego (M)  Web,USA,13457.50(12),18%,3503*,4338*,1099,6256,0,0,0
63,New Vrindavan (Web,USA,13323.55(12),-12%,4919,1855,2970*,505,193,0,0
64,Melbourne (L),Aus,13265.10(12),7%,4761*,1967*,799,5506*,1,0,0
65,Franco da Rocha,Bra,13075.30( 7),-7%,932,0,238,43030*,3348,0,0
66,Prabhupada Desh,Ita,13069.55(10),67%,5045*,0,5750*,1,834*,11*,0
67,Durban (L),SA,12944.95(12),-20%,2477,1443*,1378,23355*,202*,0,52*
68,Trivandrum ( ),Ind,12603.50(12),na,4707,418,1314,2358,13710,35*,30*
69,Rostov-na-Donu,Rus,12586.50( 4),-5%,2008,4157*,4660,8334,0,0,0
