1,New Delhi (L),Ind,852075.55(12),9%,383502*,18116*,14086*,182555*,142738*,0,270
2,Mayapur (L)    Web,Ind,693738.50(11),24%,272103*,22389*,92693*,223828*,248400,0,5441*
3,New Delhi(Punj.,Ind,489642.00(12),17%,230597*,7860*,4714,29244,62688*,2448*,0
4,Mumbai-Juhu (L)Web,Ind,405050.30(10),-14%,183548,7462*,18840,83290*,2498,0,831*
5,Mumbai-ChowpattWeb,Ind,373842.35(11),57%,156594*,10912*,8971*,151369*,60713,707,312*
6,Tirupati (L)   Web,Ind,359280.95(12),62%,129976*,13490*,4482*,288289*,96010,1013*,0
7,Pune (L),Ind,223255.70(12),100%,104481*,1384,1888,35738,28980,53*,38
8,Ahmedabad (M)  Web,Ind,197056.50( 6),43%,96422*,1618*,1985,6186*,555,0,47*
9,Moscow (L)     Web,Rus,196122.00( 9),10%,56610*,37020*,42320,71840*,67620,0,0
10,Vrindavan (L)  Web,Ind,193865.50( 9),1%,49110,37709*,0,231386*,216,36*,368
11,Pandharpur (S),Ind,124385.50( 5),na,60677,449,0,3710,15600,50*,20*
12,Surat (S),Ind,123718.75(11),12%,47084*,2560,712,18299*,53780*,8780*,150*
13,Los Angeles (L)Web,USA,122279.75(12),1%,29938,28698*,21409*,81815,3475,500*,7*
14,RupanugaVedicCoWeb,USA,117687.80(12),17%,46111*,14625*,15169*,12992,83,0,1
15,Catania TSKP (S,Ita,100282.50(11),2%,45693*,0,17793*,0,0,0,0
16,VV Nagar (M)   Web,Ind,90221.00(11),14%,16930*,595,391,15352,124158*,20693*,58*
17,Salem (M)      Web,Ind,81329.15(12),37%,37079*,915,0,3675,15658*,1314*,441*
18,Chandigarh (S),Ind,69626.35(12),9%,31871*,3438*,2864*,3897*,401*,0,0
19,Kolkata (L)    Web,Ind,67625.65(12),35%,31244*,2145*,1682*,5647*,7254*,5*,78*
20,Nizhny Novgorod,Rus,65510.65(11),66%,25476*,10471,5154*,5459*,1459,0,0
21,London-Soho (M)Web,Eng,61673.25(12),13%,24771*,3329,9161,16887,0,0,1
22,Bhaktivedanta MWeb,Eng,59901.25(10),22%,18710,3199*,30258*,16613,0,0,15
23,Mexico City (M)Web,Mex,58405.00( 8),36%,1294,4916*,69816*,63972,0,0,0
24,St. Petersburg Web,Rus,51708.75( 4),53%,18239*,10679*,5895,5705*,1780,0,0
25,San Jose(ISV) (Web,USA,50247.70(12),-24%,18411,1499,2976*,41732*,57,0,43*
26,Chennai (M)    Web,Ind,48396.60(11),18%,20600*,1661,556*,19196,3864,38*,42*
27,Baroda (M)     Web,Ind,45375.00( 9),16%,20295*,0,2690*,5400*,6520*,645*,29*
28,Almaty (L),Kaz,35680.00( 4),23%,10326*,9373*,4808,12274,1825*,0,0
29,Kathmandu (S),Nep,33585.00( 7),-4%,14583,968*,2975*,7854,0,0,0
30,Coimbatore (S) Web,Ind,28862.25(12),-12%,10077,988,250,17391*,26774,229*,0
31,New Vrajadham-H,Hun,27944.60(10),19%,7822*,2581*,13409*,6030*,15076,0,0
32,Toronto (S)    Web,Can,25719.05(12),62%,8411*,890,5940*,19105*,1332*,29,28
33,Ujjain (M),Ind,25487.50( 2),-31%,10344,1813,2178,7590,0,0,53
34,New Ekacakra(Pr,SVK,25372.50(12),-4%,1374,21815,0,3238*,0,0,0
35,Karuna Bhavan (Web,Sco,25286.25( 5),-14%,3912,14592*,4316*,2849,0,0,0
36,Leipzig (S),Ger,23667.00(12),10%,7290*,4003,10168,0,0,0,0
37,Phoenix(MA) (S),Mau,23193.00(12),na,3165*,1176*,4679*,53390*,0,0,28*
38,Nairobi (S),Ken,23166.40(12),40%,5764*,3942,1384*,27814*,509*,0,75
39,Madurai (S),Ind,20159.75(12),-14%,9811,20,113*,1845,0,0,0
40,Berlin (S),Ger,19510.00(12),30%,5635*,2218,11958*,0,430,0,0
41,Trivandrum (S),Ind,19196.25(12),52%,7837*,294,1223,3367*,9692,382*,37*
42,Barnaul (S),Rus,19028.50( 2),242%,2913*,4183*,4949*,24260*,4800*,0,0
43,Vellore (S),Ind,18570.80(12),-26%,7967,278,34,1084*,14780*,312,15
44,Yaroslavl (S),Rus,17683.25( 4),44%,4119*,5488*,3336*,9157*,0,0,0
45,Franco da Rocha,Bra,16769.75(11),28%,802,2208,1337*,49157*,0,0,0
46,San Diego (M)  Web,USA,16686.50(10),24%,5486*,3978,2133*,2680,0,0,0
47,Prague (M)     Web,Cze,16431.45(12),-38%,1098,11333,347,8361,6387*,0,0
48,Kazan (S),Rus,16033.00( 4),-48%,2224,5215,5684,12600*,3780,0,0
49,Ekaterinburg (M,Rus,15836.00( 2),109%,2984*,4042*,7618*,6336*,4330,0,0
50,New Talavan (S)Web,USA,15584.25(12),3%,6036*,9,5559,2895*,0,0,0
51,St. Louis (S)  Web,USA,15543.00(12),14%,6150*,753,1050*,7672*,470,0,0
52,Milan (M),Ita,15214.40(11),-7%,3983*,0,14425,0,245*,6,0
53,Kanyakumari (MS,Ind,15094.95(12),-2%,6184*,771*,113,857,5338*,606,14
54,Melbourne (L),Aus,14978.05(12),13%,5318*,2428*,1161*,5333,3*,0,0
55,Denver (M)     Web,USA,14836.30(12),38%,4029*,3251*,3028*,7184*,2173,0,5*
56,Minsk (M),Bel,14726.00( 3),-33%,2335,3071,8730*,10480,0,0,0
57,Habarovsk (S),Rus,14584.50( 3),4%,580,7845*,6290,8250*,3720,0,0
