1,Mayapur (L)    Web,Ind,1410295.10(11),116,557660*,148215*,122943*,287942*,33053,5262*,15122*
2,New Delhi (L),Ind,1370123.00(12),33,616846*,14937*,36372,331366,204665*,0,696
3,Mumbai-Juhu (L)Web,Ind,598874.25(12),-8,271743,11347*,32459*,111247,0,0,1362
4,New Delhi(Punj.,Ind,544970.25(12),54,250673*,5792,4392,93483,65921,2986*,573*
5,Pune (L),Ind,408070.55(12),53,191676*,3077,3233,58029*,27595,1432*,47
6,Mumbai-ChowpattWeb,Ind,346978.25(10),-14,153588,6178,6259,117931,5959,219,239
7,Tirupati (L)   Web,Ind,225670.35(12),-2,73754,8766,7141,162817*,144949*,5593*,0
8,Los Angeles (L)Web,USA,222054.60(12),30,74468*,29855*,46191*,56634*,13456,1060*,100*
9,Ahmedabad (M)  Web,Ind,179447.75(12),-6,86885,0,2975*,11185*,4250*,510,163
10,Moscow (L)     Web,Rus,167881.00( 9),-45,60421,21875,26133,48390,0,0,0
11,Surat (S),Ind,158051.20(11),20,60141*,3346*,2165*,51284*,50556*,8139,283
12,Vrindavan (L)  Web,Ind,138745.75( 9),-49,9852,50370,35527,203633,0,0,286
13,Moscow-Jagannat,Rus,133912.75( 6),na,59905,7432,6800,13083,0,0,0
14,Chennai (M)    Web,Ind,112625.10(12),132,48487*,5334*,6914*,25098*,5856,0,38
15,Sankirtan Dham,Ita,108543.00(10),85,42992*,3854,37410,0,0,0,0
16,Bhaktivedanta MWeb,Eng,100779.25(11),67,38521*,1849,38348*,10857*,0,0,82*
17,Krasnodar (S),Rus,95453.75(11),-11,22901*,21731,28153,55377*,0,0,0
18,VV Nagar (M)   Web,Ind,90559.95(10),52,22127*,1771*,2647*,19643*,93333,15246,124*
19,Chandigarh (S),Ind,90496.25(12),15,41662*,3914*,3261*,4891*,1200,150*,0
20,Salem (M)      Web,Ind,87592.05(12),-3,37374,4362*,241,14405*,13954*,1771*,410
21,RupanugaVedicCoWeb,USA,87330.80(12),-7,33105,14333*,3533,9518,26418*,0,0
22,Silicon Valley(Web,USA,84750.75(10),2,41295*,570,0,6363,0,0,594*
23,Simhacalam (NJN,Ger,56933.50(10),0,17307,14517*,15605*,0,0,0,0
24,St. Petersburg Web,Rus,55669.50( 5),-18,16285,12423*,12982*,16742*,0,0,0
25,London-Soho (M)Web,Eng,49565.75(12),54,16180*,2185*,18079*,23925,0,0,36*
26,Centro Goura Ni,Bra,45436.00( 8),63,530*,33983*,17286*,7000,0,0,0
27,Denver (M)     Web,USA,43850.05(12),29,18798*,2545,2265,9181,2813*,0,182*
28,Coimbatore (S) Web,Ind,43008.50(12),18,16204*,3804*,444,17498*,13280,380*,0
29,Kolkata ( )    Web,,42064.05( 1),-34,20230,501,650,3059*,133,0,0
30,Cueramaro (S),Mex,41574.75(12),-4,2817*,9673*,5053,94965*,0,0,0
31,Nizhny Novgorod,Rus,41024.25(10),na,15292,7932*,4392*,1249,0,0,0
32,Sydney-North (MWeb,Aus,40463.10(11),0,17326,2569*,4750*,3412,141,0,32*
33,Nairobi (S),Ken,40390.25(12),17,8524*,5848,6907*,55957*,515,0,8
34,Omsk (S),Rus,40265.00( 3),96,14598*,5126*,5072,13628,0,0,0
35,Toronto (S)    Web,Can,37200.90(12),9,10198*,5179*,9905,22604,1336*,202*,111*
36,Ujjain (M),Ind,36884.25( 5),na,11339,5794,8798,15783,200,25*,112*
37,Baroda (M)     Web,Ind,36601.30( 9),98,14685*,5,2892*,2766*,11982*,1799*,149*
38,Habarovsk (S),Rus,36300.50( 3),-2,12106*,6551,5782,10586,0,0,0
39,Irkutsk (S),Rus,34754.75( 4),324,8059*,8865*,11529*,16029*,0,0,0
40,Gainesville (M)Web,USA,31236.80(11),na,9123*,6546*,8811*,8106*,128*,0,22*
41,Mexico City (M)Web,Mex,30537.50(12),-12,2273,6185*,3110,73006,0,0,0
42,Madurai (S),Ind,29749.20(12),-25,11992,219*,140*,12628,23192*,0,0
43,Chicago (S)    Web,USA,29123.60(12),20,9247*,5589*,2059,15636*,1021*,0,0
44,Bali (S),Ind,28390.50(12),13,11570*,1031*,2783*,8354,7395*,0,0
45,Kiev (L),Ukr,28024.00(11),-22,8342,2749,10897,12570,0,0,0
46,Santiago (S),Chi,27708.75(11),38,2087*,65,26068*,41743,0,0,0
47,Perm (M),Rus,27306.20(10),-2,9372,1063,9716*,10550,37,0,0
48,Curitiba (S)   Web,Bra,26874.80(12),62,2309*,13247*,3015,30000*,23,0,0
49,Kazan (S),Rus,26861.25( 4),19,5677*,6131*,11312*,14881*,0,0,0
50,Minsk (M),Bel,26667.00( 2),-9,7735,6312,4666,10208,0,0,0
51,Nellore (M),Ind,26030.00(10),na,7791*,2739*,2027*,26782*,0,0,0
52,Swansea (S)    Web,Wal,25289.50(12),na,6172,3383,19094,58,10,0,2*
53,Durban (L),SA,23967.80(12),15,6320*,746,2190*,36758*,2973*,0,49*
54,Baltimore (MS),USA,23668.10(11),283,6966*,512*,1092*,29882*,12076*,0,25*
55,Barnaul (S),Rus,23452.00( 2),103,4590*,8174*,7264*,9864*,0,0,0
56,Prabhupada Bhav,Cze,22267.00(12),101,9179*,3809,70,260,0,0,0
57,Auckland Loft (,NZ,20689.60(12),-8,3307*,10799,784*,8318,8051*,0,9
58,Moscow-Bhaktive,Rus,20601.00( 3),na,3126,9589,4419,10202,0,0,0
59,Krasnoyarsk (S),Rus,20347.50( 8),38,4293*,5226*,6068*,14006*,0,0,0
60,Dallas (M)     Web,USA,19998.45(12),148,8469*,1034*,1561*,3979*,884*,37*,32*
61,New Jersey-Edis,USA,19848.50( 1),681,9888*,20,0,210*,0,0,119*
62,Laguna Beach (S,USA,19821.80(12),9,8784*,278,355,5638,3844,1,66*
63,New Vrajadham-H,Hun,19817.50(12),2,3942,4282*,7482,11080*,11405,0,0
64,New Ekacakra(Pr,SVK,19340.00(12),na,2711*,12928*,0,3960*,0,0,0
65,Budapest (L)   Web,Hun,19196.10(12),26,5100*,3135*,5364*,9338*,8446,0,0
66,Seattle (S)    Web,USA,18621.75(12),na,8246*,663,212*,363*,1700,250*,14*
67,Tirunelveli (S),Ind,18426.00(12),-2,7565*,85,47,7250,13750*,0,0
68,Sochi (S),Rus,17996.25( 2),11,4280,3956*,6665*,8591*,0,0,0
69,Berlin (S),Ger,17877.50( 9),7,5726*,2848*,7150*,0,25,0,0
70,Phoenix(MA) (S),Mau,17704.60(12),-18,2023,474,500,51668,176*,0,0
71,San Diego (M)  Web,USA,17516.50(12),-44,3604,7515,3374,4426,0,0,8*
72,Novosibirsk (M),Rus,17506.50( 3),-27,4796,4065,3631*,8136*,0,0,0
73,Novorosiysk (S),Rus,17280.00( 2),-24,6095,2221,3237,5002,0,0,0
74,Trivandrum ( ),,15780.75(12),-25,6349,421*,619,3509,3710*,535*,0
75,New Talavan (S)Web,USA,15667.50(12),51,6683*,313*,3057*,1840,0,0,0
76,Kuala Lumpur (M,Mal,14647.90(18),na,3980*,2212,2248,13046,904,0,77*
77,Sofia (MS),Bul,14455.50(12),70,4059*,984,7810*,5794*,0,0,0
78,Almaty (L),Kaz,13750.25(12),-13,4003*,1495,2288,12391,75,0,0
79,Dnepropetrovsk,Ukr,13352.75( 9),-3,5361,817*,1337*,4581,0,0,0
80,Atlanta (S)    Web,USA,12972.95(11),-5,4265*,2934,1415,2927*,697,0,3*
