Rank	 Temple	 Points	 Change	 MahaBig Books	 Big Books	 Medium Books	 Small Books	 Mags	 BTG Subs	 Sets	 Latitude	 Longitude	Year
1	New Delhi 	852075.55	0	383502	18116	14086	182555	142738	0	270	28.6139391	77.2090212	2011
2	Mayapur 	693738.5	0	272103	22389	92693	223828	248400	0	5441	23.4232013	88.388264	2011
3	New Delhi	489642	0	230597	7860	4714	29244	62688	2448	0	28.6139391	77.2090212	2011
4	Mumbai-Juhu 	405050.3	0	183548	7462	18840	83290	2498	0	831	19.098821	72.8320717	2011
5	Mumbai-ChowpattWeb	373842.35	0	156594	10912	8971	151369	60713	707	312	19.0759837	72.8776559	2011
6	Tirupati 	359280.95	0	129976	13490	4482	288289	96010	1013	0	13.6287557	79.4191795	2011
7	Pune 	223255.7	0	104481	1384	1888	35738	28980	53	38	18.5204303	73.8567437	2011
8	Ahmedabad 	197056.5	0	96422	1618	1985	6186	555	0	47	23.022505	72.5713621	2011
9	Moscow 	196122	0	56610	37020	42320	71840	67620	0	0	55.755826	37.6173	2011
10	Vrindavan 	193865.5	0	49110	37709	0	231386	216	36	368	27.5650088	77.6593394	2011
11	Pandharpur 	124385.5	0	60677	449	0	3710	15600	50	20	17.6745535	75.3237262	2011
12	Surat 	123718.75	0	47084	2560	712	18299	53780	8780	150	21.1702401	72.8310607	2011
13	Los Angeles 	122279.75	0	29938	28698	21409	81815	3475	500	7	34.0522342	-118.2436849	2011
14	RupanugaVedicCoWeb	117687.8	0	46111	14625	15169	12992	83	0	1	null	null	2011
15	Catania TSKP 	100282.5	0	45693	0	17793	0	0	0	0	null	null	2011
16	VV Nagar 	90221	0	16930	595	391	15352	124158	20693	58	22.5512626	72.925386	2011
17	Salem 	81329.15	0	37079	915	0	3675	15658	1314	441	42.51954	-70.8967155	2011
18	Chandigarh 	69626.35	0	31871	3438	2864	3897	401	0	0	30.7333148	76.7794179	2011
19	Kolkata 	67625.65	0	31244	2145	1682	5647	7254	5	78	22.572646	88.363895	2011
20	Nizhny Novgorod	65510.65	0	25476	10471	5154	5459	1459	0	0	56.2965039	43.9360589	2011
21	London-Soho 	61673.25	0	24771	3329	9161	16887	0	0	1	51.5136143	-0.1365486	2011
22	Bhaktivedanta MWeb	59901.25	0	18710	3199	30258	16613	0	0	15	null	null	2011
23	Mexico City 	58405	0	1294	4916	69816	63972	0	0	0	19.4326077	-99.133208	2011
24	St. Petersburg Web	51708.75	0	18239	10679	5895	5705	1780	0	0	27.7518284	-82.6267345	2011
25	San Jose	50247.7	0	18411	1499	2976	41732	57	0	43	37.3382082	-121.8863286	2011
26	Chennai 	48396.6	0	20600	1661	556	19196	3864	38	42	13.0826802	80.2707184	2011
27	Baroda 	45375	0	20295	0	2690	5400	6520	645	29	22.3071588	73.1812187	2011
28	Almaty 	35680	0	10326	9373	4808	12274	1825	0	0	43.2220146	76.8512485	2011
29	Kathmandu 	33585	0	14583	968	2975	7854	0	0	0	27.7172453	85.3239605	2011
30	Coimbatore 	28862.25	0	10077	988	250	17391	26774	229	0	11.0168445	76.9558321	2011
31	New Vrajadham-H	27944.6	0	7822	2581	13409	6030	15076	0	0	null	null	2011
32	Toronto 	25719.05	0	8411	890	5940	19105	1332	29	28	43.653226	-79.3831843	2011
33	Ujjain 	25487.5	0	10344	1813	2178	7590	0	0	53	23.1793013	75.7849097	2011
34	New Ekacakra	25372.5	0	1374	21815	0	3238	0	0	0	null	null	2011
35	Karuna Bhavan 	25286.25	0	3912	14592	4316	2849	0	0	0	10.01486	76.303467	2011
36	Leipzig 	23667	0	7290	4003	10168	0	0	0	0	51.3396955	12.3730747	2011
37	Phoenix	23193	0	3165	1176	4679	53390	0	0	28	33.4483771	-112.0740373	2011
38	Nairobi 	23166.4	0	5764	3942	1384	27814	509	0	75	-1.2920659	36.8219462	2011
39	Madurai 	20159.75	0	9811	20	113	1845	0	0	0	9.9252007	78.1197754	2011
40	Berlin 	19510	0	5635	2218	11958	0	430	0	0	52.5200066	13.404954	2011
41	Trivandrum 	19196.25	0	7837	294	1223	3367	9692	382	37	8.5241391	76.9366376	2011
42	Barnaul 	19028.5	0	2913	4183	4949	24260	4800	0	0	53.3547792	83.7697832	2011
43	Vellore 	18570.8	0	7967	278	34	1084	14780	312	15	12.9165167	79.1324986	2011
44	Yaroslavl 	17683.25	0	4119	5488	3336	9157	0	0	0	57.6260744	39.8844708	2011
45	Franco da Rocha	16769.75	0	802	2208	1337	49157	0	0	0	-23.3233727	-46.7294577	2011
46	San Diego 	16686.5	0	5486	3978	2133	2680	0	0	0	32.715738	-117.1610838	2011
47	Prague 	16431.45	0	1098	11333	347	8361	6387	0	0	50.0755381	14.4378005	2011
48	Kazan 	16033	0	2224	5215	5684	12600	3780	0	0	55.8304307	49.0660806	2011
49	Ekaterinburg 	15836	0	2984	4042	7618	6336	4330	0	0	56.8389261	60.6057025	2011
50	New Talavan 	15584.25	0	6036	9	5559	2895	0	0	0	null	null	2011
51	St. Louis 	15543	0	6150	753	1050	7672	470	0	0	38.6270025	-90.1994042	2011
52	Milan 	15214.4	0	3983	0	14425	0	245	6	0	45.4654219	9.1859243	2011
53	Kanyakumari 	15094.95	0	6184	771	113	857	5338	606	14	8.0883064	77.5384507	2011
54	Melbourne 	14978.05	0	5318	2428	1161	5333	3	0	0	28.0836269	-80.6081089	2011
55	Denver 	14836.3	0	4029	3251	3028	7184	2173	0	5	39.7392358	-104.990251	2011
56	Minsk 	14726	0	2335	3071	8730	10480	0	0	0	53.9045398	27.5615244	2011
57	Habarovsk 	14584.5	0	580	7845	6290	8250	3720	0	0	48.5027313	135.0662599	2011
58	Washington D.C.Web	14258.05	0	3310	694	6390	13681	2980	7	66	48.5328996	-123.0153845	2011
59	Auckland Loft 	14214.75	0	3510	4719	1518	6867	0	0	13	-36.7777439	174.5540158	2011
60	Perm 	14133.45	0	6202	422	1430	2167	507	0	0	58.0296813	56.2667916	2011
61	Bali 	14061.1	0	5467	455	2591	4594	2281	0	0	-8.4095178	115.188916	2011
62	Budapest 	13745.95	0	3052	1520	7917	4095	11397	0	0	47.497912	19.040235	2011
63	New Jersey-Edis	13742.75	0	6755	0	0	71	258	43	136	40.0583238	-74.4056612	2011
64	Omsk 	13550	0	4215	2429	1504	7756	0	0	0	54.9884804	73.3242362	2011
65	Dnepropetrovsk	13345.5	0	4803	121	5621	3232	0	0	0	48.464717	35.046183	2011
66	Kiev 	12537.65	0	4030	198	6399	4301	49	0	0	50.4501	30.5234	2011
67	Prabhupada Bhav	12335.25	0	578	10769	263	1115	0	0	0	null	null	2011
68	Essentuki 	11840	0	1940	2840	5640	9200	0	0	0	44.0455121	42.8575232	2011
69	Villa Vrndavana	11815.55	0	3995	0	7447	13	361	33	0	27.4966225	77.6920312	2011
70	Rome 	11540.6	0	5177	0	2368	0	26	0	0	41.9027835	12.4963655	2011
71	Durban 	11471.95	0	2800	891	1891	15827	523	6	25	-29.8586804	31.0218404	2011
72	Irkutsk 	11011	0	1860	2320	4480	8620	5760	0	0	52.2869741	104.3050183	2011
73	Lenasia 	10786.5	0	1979	1464	3166	15126	0	0	0	-26.3335179	27.8663075	2011
74	Prabhupada Desh	10762.5	0	3791	0	6313	0	240	0	0	null	null	2011
75	New Vrindavan 	10735.5	0	4506	953	1459	164	0	0	0	39.9667283	-80.6067728	2011
76	BTG/Krishna.com	10323.5	0	1618	445	776	718	7290	1215	37	null	null	2011
77	Terni 	10304.4	0	5141	0	44	0	4	0	0	42.5636168	12.6426604	2011
78	Nigdi 	10048	0	5024	0	0	0	0	0	0	18.6571325	73.7659068	2011
79	Kaunas 	9878.75	0	1199	5480	500	7003	0	0	0	54.8985207	23.9035965	2011
80	New Orleans 	9815.75	0	117	177	13503	10613	0	0	0	29.9510658	-90.0715323	2011
81	Kuala Lumpur 	9457.85	0	2036	1142	1328	13751	1421	0	34	3.139003	101.686855	2011
82	Tirunelveli 	9411.5	0	4405	129	17	1856	0	0	0	8.7139126	77.7566523	2011
83	Vilnius 	9365.75	0	851	5459	927	6965	0	0	0	54.6871555	25.2796514	2011
84	Laguna Beach 	9041.4	0	2604	1065	281	10278	408	4	25	33.5422475	-117.7831104	2011
85	Santiago 	8879.2	0	172	37	7075	17720	5307	0	0	42.8782132	-8.5448445	2011
86	Radhadesh 	8645.25	0	2461	1645	722	4755	5285	0	45	null	null	2011
87	Hyderabad 	8238	0	1687	432	492	4244	4500	750	16	17.385044	78.486671	2011
88	Helsinki 	8129.95	0	1599	4831	63	125	382	0	0	60.1733244	24.9410248	2011
89	Centro Goura Ni	7616.3	0	428	1458	3404	14378	58	0	0	42.3352778	44.7627778	2011
90	Krasnoyarsk 	7387.75	0	1050	2737	1789	4897	4320	0	0	56.0152834	92.8932476	2011
91	Samara 	7378.35	0	1979	1366	2124	2859	2776	0	0	53.2415041	50.2212463	2011
92	Montreal 	7293.75	0	1484	293	4421	7289	0	0	0	45.5016889	-73.567256	2011
93	Benelux TSKP 	7101.5	0	2321	641	1278	4318	1000	0	14	null	null	2011
94	Heidelberg 	6999.3	0	2455	763	2509	0	718	0	0	49.3987524	8.6724335	2011
95	Itajai 	6757.85	0	504	25	371	20093	5161	0	0	-26.9105964	-48.6709514	2011
